Region,Agency,LAWASiteID,LAWAWellName,Latitude,Longitude,Indicator,Units,State
Auckland,Auckland Council,LAWA-101674,BP Bombay,-37.19308584,174.9822733,Nitrate nitrogen,g/m³,11.2
Auckland,Auckland Council,LAWA-101663,Fielding Rd Sand,-37.1161675,174.962976,Nitrate nitrogen,g/m³,0.0005
Auckland,Auckland Council,LAWA-101664,Fielding Rd Volc,-37.1161675,174.962976,Nitrate nitrogen,g/m³,0.00935
Auckland,Auckland Council,LAWA-101666,Hickey Springs,-37.192866,174.90093,Nitrate nitrogen,g/m³,16.95
Auckland,Auckland Council,LAWA-101665,Hillview Springs,-37.169148,174.986554,Nitrate nitrogen,g/m³,14.75
Auckland,Auckland Council,LAWA-101661,Ostrich Farm Obs NO2,-37.16738681,174.8698183,Nitrate nitrogen,g/m³,0.0005
Auckland,Auckland Council,LAWA-101662,Ostrich Farm Rd Deep #1,-37.1661023,174.8698334,Nitrate nitrogen,g/m³,0.0015
Auckland,Auckland Council,LAWA-101648,Patumahoe Springs,-37.20051676,174.8476701,Nitrate nitrogen,g/m³,23
Auckland,Auckland Council,LAWA-104129,Rifle Range Central Volcanics Shallow,-37.20293744,174.87329,Nitrate nitrogen,g/m³,10.55
Auckland,Auckland Council,LAWA-101667,Rifle Range Rd Deep,-37.20292932,174.8735264,Nitrate nitrogen,g/m³,0.0015
Auckland,Auckland Council,LAWA-101673,Seagrove Rd,-37.13027358,174.7561493,Nitrate nitrogen,g/m³,0.0015
Auckland,Auckland Council,LAWA-101652,Waitakere Rd Deep,-36.78439331,174.5566526,Nitrate nitrogen,g/m³,0.0015
Auckland,Auckland Council,LAWA-101653,Waitakere Rd Shallow,-36.78235838,174.5603545,Nitrate nitrogen,g/m³,0.0015
Auckland,Auckland Council,LAWA-101671,Watson Ave,-36.88658944,174.7377031,Nitrate nitrogen,g/m³,3.45
Auckland,Auckland Council,LAWA-101675,Wilcox Gunclub Road,-37.20333691,174.8506121,Nitrate nitrogen,g/m³,25
